Name,IATA,ICAO
Lengpui Airport,AJL,VELP
Bagdogra Airport,IXB,VEBD
Bokaro Airport,\N,VEBK
Biju Patnaik Airport,BBI,VEBS
Netaji Subhash Chandra Bose International Airport,CCU,VECC
Cooch Behar Airport,COH,VECO
Dhanbad Airport,DBD,VEDB
Gaya Airport,GAY,VEGY
Hirakud Airport,\N,VEHK
Imphal Airport,IMF,VEIM
Jharsuguda Airport,\N,VEJH
Sonari Airport,IXW,VEJS
Jorhat Airport,JRH,VEJT
Kailashahar Airport,IXH,VEKR
Silchar Airport,IXS,VEKU
North Lakhimpur Airport,IXI,VELR
Dibrugarh Airport,DIB,VEMN
Muzaffarpur Airport,MZU,VEMZ
Nawapara Airport,\N,VENP
Panagarh Air Force Station,\N,VEPH
Lok Nayak Jayaprakash Airport,PAT,VEPT
Purnea Airport,\N,VEPU
Birsa Munda Airport,IXR,VERC
Rourkela Airport,RRK,VERK
Utkela Airport,\N,VEUK
Vishakhapatnam Airport,VTZ,VEVZ
Ziro Airport,ZER,VEZO
Cox's Bazar Airport,CXB,VGCB
Shah Amanat International Airport,CGP,VGEG
Ishurdi Airport,IRD,VGIS
Jessore Airport,JSR,VGJR
Shah Mokhdum Airport,RJH,VGRJ
Saidpur Airport,SPD,VGSD
Osmany International Airport,ZYL,VGSY
Tejgaon Airport,\N,VGTJ
Hazrat Shahjalal International Airport,DAC,VGZR
Hong Kong International Airport,HKG,VHHH
Shek Kong Air Base,\N,VHSK
Agra Airport,AGR,VIAG
Allahabad Airport,IXD,VIAL
Sri Guru Ram Dass Jee International Airport,ATQ,VIAR
Nal Airport,BKB,VIBK
Bakshi Ka Talab Air Force Station,\N,VIBL
Lal Bahadur Shastri Airport,VNS,VIBN
Kullu Manali Airport,KUU,VIBR
Bhatinda Air Force Station,BUP,VIBT
Bhiwani Airport,\N,VIBW
Bareilly Air Force Station,BEK,VIBY
Chandigarh Airport,IXC,VICG
Kanpur Airport,KNU,VICX
Safdarjung Airport,\N,VIDD
Dehradun Airport,DED,VIDN
Indira Gandhi International Airport,DEL,VIDP
Gwalior Airport,GWL,VIGR
Hissar Airport,HSS,VIHR
Jhansi Airport,\N,VIJN
Jodhpur Airport,JDH,VIJO
Jaipur International Airport,JAI,VIJP
Jaisalmer Airport,JSA,VIJR
Jammu Airport,IXJ,VIJU
Kanpur Civil Airport,\N,VIKA
Kota Airport,KTU,VIKO
Ludhiana Airport,LUH,VILD
Leh Kushok Bakula Rimpochee Airport,IXL,VILH
Chaudhary Charan Singh International Airport,LKO,VILK
Pathankot Airport,IXP,VIPK
Patiala Airport,\N,VIPL
Pantnagar Airport,PGH,VIPT
Fursatganj Airport,\N,VIRB
Sarsawa Air Force Station,\N,VISP
Sheikh ul Alam Airport,SXR,VISR
Satna Airport,TNI,VIST
Luang Phabang International Airport,LPQ,VLLB
Pakse International Airport,PKZ,VLPS
Phonesavanh Airport,\N,VLPV
Savannakhet Airport,ZVK,VLSK
Sam Neua Airport,NEU,VLSN
Wattay International Airport,VTE,VLVT
Macau International Airport,MFM,VMMC
Gautam Buddha Airport,BWA,VNBW
Janakpur Airport,JKR,VNJP
Tribhuvan International Airport,KTM,VNKT
Pokhara Airport,PKR,VNPK
Simara Airport,SIF,VNSI
Biratnagar Airport,BIR,VNVT
Agatti Airport,AGX,VOAT
Kempegowda International Airport,BLR,VOBL
Bellary Airport,BEP,VOBI
Bidar Air Force Station,\N,VOBR
Vijayawada Airport,VGA,VOBZ
Coimbatore International Airport,CJB,VOCB
Cochin International Airport,COK,VOCI
Calicut International Airport,CCJ,VOCL
Kadapa Airport,CDP,VOCP
Car Nicobar Air Force Station,CBD,VOCX
Dundigul Air Force Academy,\N,VODG
Begumpet Airport,BPM,VOHY
Madurai Airport,IXM,VOMD
Mangalore International Airport,IXE,VOML
Chennai International Airport,MAA,VOMM
Nagarjuna Sagar Airport,\N,VONS
Vir Savarkar International Airport,IXZ,VOPB
Pondicherry Airport,PNY,VOPC
Rajahmundry Airport,RJA,VORY
Salem Airport,SXV,VOSM
Tanjore Air Force Base,TJV,VOTJ
Tirupati Airport,TIR,VOTP
Tiruchirapally Civil Airport Airport,TRZ,VOTR
Trivandrum International Airport,TRV,VOTV
Tambaram Air Force Station,\N,VOTX
Paro Airport,PBH,VQPR
Malé International Airport,MLE,VRMM
Don Mueang International Airport,DMK,VTBD
Kamphaeng Saen Airport,KDT,VTBK
Khok Kathiam Airport,\N,VTBL
U-Tapao International Airport,UTP,VTBU
Watthana Nakhon Airport,\N,VTBW
Lampang Airport,LPT,VTCL
Phrae Airport,PRH,VTCP
Hua Hin Airport,HHQ,VTPH
Takhli Airport,TKH,VTPI
Sak Long Airport,\N,VTPL
Nakhon Sawan Airport,\N,VTPN
Phitsanulok Airport,PHS,VTPP
Khunan Phumipol Airport,\N,VTPY
Khoun Khan Airport,\N,VTSA
Narathiwat Airport,NAW,VTSC
Krabi Airport,KBV,VTSG
Songkhla Airport,SGZ,VTSH
Pattani Airport,PAN,VTSK
Samui Airport,USM,VTSM
Cha Eian Airport,\N,VTSN
Phuket International Airport,HKT,VTSP
Ranong Airport,UNN,VTSR
Hat Yai International Airport,HDY,VTSS
Trang Airport,TST,VTST
Udon Thani Airport,UTH,VTUD
Sakon Nakhon Airport,SNO,VTUI
Surin Airport,PXR,VTUJ
Loei Airport,LOE,VTUL
Khorat Airport,\N,VTUN
Rob Muang Airport,\N,VTUR
Da Nang International Airport,DAD,VVDN
Gia Lam Air Base,\N,VVGL
Kep Air Base,\N,VVKP
Noi Bai International Airport,HAN,VVNB
Nha Trang Air Base,NHA,VVNT
Phu Bai Airport,HUI,VVPB
Phu Quoc International Airport,PQC,VVPQ
Tan Son Nhat International Airport,SGN,VVTS
Ann Airport,VBA,VYAN
Anisakan Airport,\N,VYAS
Bagan Airport,NYU,VYBG
Coco Island Airport,\N,VYCI
Heho Airport,HEH,VYHH
Hommalinn Airport,HOX,VYHL
Kengtung Airport,KET,VYKG
Kyaukpyu Airport,KYP,VYKP
Lashio Airport,LSH,VYLS
Lanywa Airport,\N,VYLY
Mandalay International Airport,MDL,VYMD
Myeik Airport,MGZ,VYME
Myitkyina Airport,MYT,VYMK
Momeik Airport,MOE,VYMO
Mong Hsat Airport,MOG,VYMS
Nampong Air Base,\N,VYNP
Namsang Airport,NMS,VYNS
Hpa-N Airport,PAA,VYPA
Putao Airport,PBU,VYPT
Pyay Airport,PRU,VYPY
Shante Air Base,\N,VYST
Sittwe Airport,AKY,VYSW
Thandwe Airport,SNW,VYTD
Tachileik Airport,THL,VYTL
Taungoo Airport,\N,VYTO
Yangon International Airport,RGN,VYYY
Hasanuddin International Airport,UPG,WAAA
Frans Kaisiepo Airport,BIK,WABB
Nabire Airport,NBX,WABI
Moses Kilangin Airport,TIM,WABP
Sentani International Airport,DJJ,WAJJ
Wamena Airport,WMX,WAJW
Mopah Airport,MKQ,WAKK
Jalaluddin Airport,GTO,WAMG
Mutiara Airport,PLW,WAML
Sam Ratulangi Airport,MDC,WAMM
Kasiguncu Airport,PSJ,WAMP
Pitu Airport,OTI,WAMR
Sultan Khairun Babullah Airport,TTE,WAMT
Syukuran Aminuddin Amir Airport,LUW,WAMW
"Pattimura Airport, Ambon",AMQ,WAPP
Fakfak Airport,FKQ,WASF
Kaimana Airport,KNG,WASK
Babo Airport,BXB,WASO
Rendani Airport,MKW,WASR
Dominique Edward Osok Airport,SOQ,WAXX
Bintulu Airport,BTU,WBGB
Kuching International Airport,KCH,WBGG
Limbang Airport,LMN,WBGJ
Marudi Airport,MUR,WBGM
Miri Airport,MYY,WBGR
Sibu Airport,SBW,WBGS
Lahad Datu Airport,LDU,WBKD
Kota Kinabalu International Airport,BKI,WBKK
Labuan Airport,LBU,WBKL
Tawau Airport,TWU,WBKW
Brunei International Airport,BWN,WBSB
Sultan Syarif Kasim Ii (Simpang Tiga) Airport,PKU,WIBB
Pinang Kampai Airport,DUM,WIBD
Soekarno-Hatta International Airport,CGK,WIII
Binaka Airport,GNS,WIMB
Aek Godang Airport,AEG,WIME
Minangkabau International Airport,PDG,WIPT
Soewondo Air Force Base,MES,WIMK
Dr Ferdinand Lumban Tobing Airport,FLZ,WIMS
Nanga Pinoh Airport,NPO,WIOG
Ketapang(Rahadi Usman) Airport,KTG,WIOK
Supadio Airport,PNK,WIOO
Sultan Thaha Airport,DJB,WIPA
Fatmawati Soekarno Airport,BKS,WIPL
Sultan Mahmud Badaruddin II Airport,PLM,WIPP
Japura Airport,RGT,WIPR
Lhok Sukon Airport,LSX,WITL
Sultan Iskandar Muda International Airport,BTJ,WITT
Kluang Airport,\N,WMAP
Sultan Abdul Halim Airport,AOR,WMKA
Butterworth Airport,BWH,WMKB
Sultan Ismail Petra Airport,KBR,WMKC
Kuantan Airport,KUA,WMKD
Kerteh Airport,KTE,WMKE
Simpang Airport,\N,WMKF
Sultan Azlan Shah Airport,IPH,WMKI
Senai International Airport,JHB,WMKJ
Kuala Lumpur International Airport,KUL,WMKK
Langkawi International Airport,LGK,WMKL
Malacca Airport,MKZ,WMKM
Sultan Mahmud Airport,TGG,WMKN
Penang International Airport,PEN,WMKP
Suai Airport,UAI,WPDB
Presidente Nicolau Lobato International Airport,DIL,WPDL
Cakung Airport,BCH,WPEC
Sembawang Air Base,\N,WSAG
Paya Lebar Air Base,QPG,WSAP
Tengah Air Base,TGA,WSAT
Seletar Airport,XSP,WSSL
Singapore Changi Airport,SIN,WSSS
Brisbane Archerfield Airport,ACF,YBAF
Northern Peninsula Airport,ABM,YBAM
Alice Springs Airport,ASP,YBAS
Brisbane International Airport,BNE,YBBN
Gold Coast Airport,OOL,YBCG
Cairns International Airport,CNS,YBCS
Charleville Airport,CTL,YBCV
Mount Isa Airport,ISA,YBMA
Sunshine Coast Airport,MCY,YBMC
Mackay Airport,MKY,YBMK
Proserpine Whitsunday Coast Airport,PPP,YBPN
Rockhampton Airport,ROK,YBRK
Townsville Airport,TSV,YBTL
Weipa Airport,WEI,YBWP
Avalon Airport,AVV,YMAV
Albury Airport,ABX,YMAY
Melbourne Essendon Airport,MEB,YMEN
RAAF Base East Sale,\N,YMES
Hobart International Airport,HBA,YMHB
Launceston Airport,LST,YMLT
Melbourne Moorabbin Airport,MBW,YMMB
Melbourne International Airport,MEL,YMML
"RAAF Williams, Point Cook Base",\N,YMPC
Adelaide International Airport,ADL,YPAD
RAAF Base Edinburgh,\N,YPED
Perth Jandakot Airport,JAD,YPJT
Karratha Airport,KTA,YPKA
Kalgoorlie Boulder Airport,KGI,YPKG
Kununurra Airport,KNX,YPKU
Learmonth Airport,LEA,YPLM
Port Hedland International Airport,PHE,YPPD
Adelaide Parafield Airport,\N,YPPF
Perth International Airport,PER,YPPH
Woomera Airfield,UMR,YPWR
Christmas Island Airport,XCH,YPXM
Sydney Bankstown Airport,BWU,YSBK
Canberra International Airport,CBR,YSCB
Coffs Harbour Airport,CFS,YSCH
Camden Airport,CDU,YSCN
Dubbo City Regional Airport,DBO,YSDU
Norfolk Island International Airport,NLK,YSNF
RAAF Base Richmond,XRH,YSRI
Sydney Kingsford Smith International Airport,SYD,YSSY
Tamworth Airport,TMW,YSTW
Wagga Wagga City Airport,WGA,YSWG
Beijing Capital International Airport,PEK,ZBAA
Dongshan Airport,HLD,ZBLA
Tianjin Binhai International Airport,TSN,ZBTJ
Taiyuan Wusu Airport,TYN,ZBYN
Guangzhou Baiyun International Airport,CAN,ZGGG
Changsha Huanghua International Airport,CSX,ZGHA
Guilin Liangjiang International Airport,KWL,ZGKL
Nanning Wuxu Airport,NNG,ZGNN
Shenzhen Bao'an International Airport,SZX,ZGSZ
Zhengzhou Xinzheng International Airport,CGO,ZHCC
Wuhan Tianhe International Airport,WUH,ZHHH
Pyongyang Sunan International Airport,FNJ,ZKPY
Lanzhou Zhongchuan Airport,LHW,ZLLL
Xi'an Xianyang International Airport,XIY,ZLXY
Chinggis Khaan International Airport,ULN,ZMUB
Xishuangbanna Gasa Airport,JHG,ZPJH
Kunming Changshui International Airport,KMG,ZPPP
Xiamen Gaoqi International Airport,XMN,ZSAM
Nanchang Changbei International Airport,KHN,ZSCN
Fuzhou Changle International Airport,FOC,ZSFZ
Hangzhou Xiaoshan International Airport,HGH,ZSHC
Ningbo Lishe International Airport,NGB,ZSNB
Nanjing Lukou Airport,NKG,ZSNJ
Hefei Luogang International Airport,HFE,ZSOF
Liuting Airport,TAO,ZSQD
Shanghai Hongqiao International Airport,SHA,ZSSS
Yantai Laishan Airport,YNT,ZSYT
Chongqing Jiangbei International Airport,CKG,ZUCK
Longdongbao Airport,KWE,ZUGY
Chengdu Shuangliu International Airport,CTU,ZUUU
Xichang Qingshan Airport,XIC,ZUXC
Kashgar Airport,KHG,ZWSH
Hotan Airport,HTN,ZWTN
Ürümqi Diwopu International Airport,URC,ZWWW
Taiping Airport,HRB,ZYHB
Mudanjiang Hailang International Airport,MDG,ZYMD
Zhoushuizi Airport,DLC,ZYTL
Shanghai Pudong International Airport,PVG,ZSPD
Pulau Tioman Airport,TOD,WMBT
Sultan Abdul Aziz Shah International Airport,SZB,WMSA
Noto Airport,NTQ,RJNW
Borg El Arab International Airport,HBE,HEBA
Barter Island LRRS Airport,BTI,PABA
Wainwright Air Station,\N,PAWT
Cape Lisburne LRRS Airport,LUR,PALU
Point Lay LRRS Airport,PIZ,PPIZ
Hilo International Airport,ITO,PHTO
Orlando Executive Airport,ORL,KORL
Bettles Airport,BTT,PABT
Clear Airport,\N,PACL
Indian Mountain LRRS Airport,UTO,PAIM
Fort Yukon Airport,FYU,PFYU
Sparrevohn LRRS Airport,SVW,PASV
Bryant Army Heliport,FRN,PAFR
Tatalina LRRS Airport,TLJ,PATL
Cape Romanzof LRRS Airport,CZF,PACZ
Laurence G Hanscom Field,BED,KBED
St Paul Island Airport,SNP,PASN
Cape Newenham LRRS Airport,EHM,PAEH
St George Airport,STG,PAPB
Iliamna Airport,ILI,PAIL
Platinum Airport,PTU,PAPM
Big Mountain Airport,BMX,PABM
Oscoda Wurtsmith Airport,OSC,KOSC
Marina Municipal Airport,OAR,KOAR
Sacramento Mather Airport,MHR,KMHR
Bicycle Lake Army Air Field,BYS,KBYS
Twentynine Palms (Self) Airport,\N,KNXP
Fort Smith Regional Airport,FSM,KFSM
Merrill Field,MRI,PAMR
Grants-Milan Municipal Airport,GNT,KGNT
Ponca City Regional Airport,PNC,KPNC
Hunter Army Air Field,SVN,KSVN
Grand Forks International Airport,GFK,KGFK
"Pine Bluff Regional Airport, Grider Field",PBF,KPBF
Whiting Field Naval Air Station - North,NSE,KNSE
Hana Airport,HNM,PHHN
Ernest A. Love Field,PRC,KPRC
Trenton Mercer Airport,TTN,KTTN
General Edward Lawrence Logan International Airport,BOS,KBOS
Travis Air Force Base,SUU,KSUU
Griffiss International Airport,RME,KRME
Wendover Airport,ENV,KENV
Mobile Downtown Airport,BFM,KBFM
Metropolitan Oakland International Airport,OAK,KOAK
Eppley Airfield,OMA,KOMA
Port Angeles Cgas Airport,\N,KNOW
Kahului Airport,OGG,PHOG
Wichita Eisenhower National Airport,ICT,KICT
Kansas City International Airport,MCI,KMCI
Dane County Regional Truax Field,MSN,KMSN
Dillingham Airport,DLG,PADL
Boone County Airport,HRO,KHRO
Phoenix Sky Harbor International Airport,PHX,KPHX
Bangor International Airport,BGR,KBGR
Fort Lauderdale Executive Airport,FXE,KFXE
East Texas Regional Airport,GGG,KGGG
Anderson Regional Airport,AND,KAND
Spokane International Airport,GEG,KGEG
North Perry Airport,HWO,KHWO
San Francisco International Airport,SFO,KSFO
Cut Bank International Airport,CTB,KCTB
Acadiana Regional Airport,ARA,KARA
Gainesville Regional Airport,GNV,KGNV
Memphis International Airport,MEM,KMEM
Bisbee Douglas International Airport,DUG,KDUG
Allen Army Airfield,BIG,PABI
TSTC Waco Airport,CNW,KCNW
Annette Island Airport,ANN,PANT
Caribou Municipal Airport,CAR,KCAR
Little Rock Air Force Base,LRF,KLRF
Redstone Army Air Field,HUA,KHUA
Pope Field,POB,KPOB
Dalhart Municipal Airport,DHT,KDHT
DLF Airport,DLF,KDLF
Los Angeles International Airport,LAX,KLAX
Anniston Regional Airport,ANB,KANB
Cleveland Hopkins International Airport,CLE,KCLE
Dover Air Force Base,DOV,KDOV
Cincinnati Northern Kentucky International Airport,CVG,KCVG
Tipton Airport,FME,KFME
China Lake Naws (Armitage Field) Airport,\N,KNID
Huron Regional Airport,HON,KHON
Juneau International Airport,JNU,PAJN
Lafayette Regional Airport,LFT,KLFT
Newark Liberty International Airport,EWR,KEWR
Boise Air Terminal/Gowen Field,BOI,KBOI
Creech Air Force Base,INS,KINS
Garden City Regional Airport,GCK,KGCK
Minot International Airport,MOT,KMOT
Wheeler Army Airfield,HHI,PHHI
Maxwell Air Force Base,MXF,KMXF
Robinson Army Air Field,\N,KRBM
Dallas Love Field,DAL,KDAL
Butts AAF (Fort Carson) Air Field,FCS,KFCS
Helena Regional Airport,HLN,KHLN
Miramar Marine Corps Air Station - Mitscher Field,NKX,KNKX
Luke Air Force Base,LUF,KLUF
Hurlburt Field,\N,KHRT
Jack Northrop Field Hawthorne Municipal Airport,HHR,KHHR
Houlton International Airport,HUL,KHUL
Vance Air Force Base,END,KEND
Point Mugu Naval Air Station (Naval Base Ventura Co),NTD,KNTD
Edwards Air Force Base,EDW,KEDW
Lake Charles Regional Airport,LCH,KLCH
Ellison Onizuka Kona International At Keahole Airport,KOA,PHKO
Myrtle Beach International Airport,MYR,KMYR
Lemoore Naval Air Station (Reeves Field) Airport,NLC,KNLC
Nantucket Memorial Airport,ACK,KACK
Felker Army Air Field,FAF,KFAF
Campbell AAF (Fort Campbell) Air Field,HOP,KHOP
Ronald Reagan Washington National Airport,DCA,KDCA
Patuxent River Naval Air Station (Trapnell Field),NHK,KNHK
Palacios Municipal Airport,PSX,KPSX
Arkansas International Airport,BYH,KBYH
Atlantic City International Airport,ACY,KACY
Tinker Air Force Base,TIK,KTIK
Elizabeth City Regional Airport & Coast Guard Air Station,ECG,KECG
Pueblo Memorial Airport,PUB,KPUB
Northern Maine Regional Airport at Presque Isle,PQI,KPQI
Kirtland Air Force Base,IKR,KIKR
Gray Army Air Field,GRF,KGRF
Kodiak Airport,ADQ,PADQ
Upolu Airport,UPP,PHUP
Fort Lauderdale Hollywood International Airport,FLL,KFLL
Muskogee-Davis Regional Airport,\N,KMKO
Falls International Airport,INL,KINL
Salt Lake City International Airport,SLC,KSLC
Childress Municipal Airport,CDS,KCDS
Keesler Air Force Base,BIX,KBIX
Lawson Army Air Field (Fort Benning),LSF,KLSF
Kingsville Naval Air Station,NQI,KNQI
Marshall Army Air Field,FRI,KFRI
Harrisburg International Airport,MDT,KMDT
Lincoln Airport,LNK,KLNK
Capital City Airport,LAN,KLAN
Waimea Kohala Airport,MUE,PHMU
Massena International Richards Field,MSS,KMSS
Hickory Regional Airport,HKY,KHKY
Albert Whitted Airport,SPG,KSPG
Page Field,FMY,KFMY
George Bush Intercontinental Houston Airport,IAH,KIAH
Millinocket Municipal Airport,\N,KMLT
Joint Base Andrews,ADW,KADW
Smith Reynolds Airport,INT,KINT
Southern California Logistics Airport,VCV,KVCV
Bob Sikes Airport,CEW,KCEW
Wheeler Sack Army Air Field,\N,KGTB
St Clair County International Airport,PHN,KPHN
Meadows Field,BFL,KBFL
El Paso International Airport,ELP,KELP
Valley International Airport,HRL,KHRL
Columbia Metropolitan Airport,CAE,KCAE
Davis Monthan Air Force Base,DMA,KDMA
Pensacola Naval Air Station/Forrest Sherman Field,NPA,KNPA
Pensacola Regional Airport,PNS,KPNS
Grand Forks Air Force Base,RDR,KRDR
William P Hobby Airport,HOU,KHOU
Buckley Air Force Base,BFK,KBKF
Northway Airport,ORT,PAOR
"Warren ""Bud"" Woods Palmer Municipal Airport",PAQ,PAAQ
Pittsburgh International Airport,PIT,KPIT
Wiley Post Will Rogers Memorial Airport,BRW,PABR
Ellington Airport,EFD,KEFD
Whidbey Island Naval Air Station (Ault Field),NUW,KNUW
Alice International Airport,ALI,KALI
Moody Air Force Base,VAD,KVAD
Miami International Airport,MIA,KMIA
Seattle Tacoma International Airport,SEA,KSEA
Lovell Field,CHA,KCHA
Igor I Sikorsky Memorial Airport,BDR,KBDR
Jackson-Medgar Wiley Evers International Airport,JAN,KJAN
Scholes International At Galveston Airport,GLS,KGLS
Long Beach /Daugherty Field/ Airport,LGB,KLGB
Dillingham Airfield,HDH,PHDH
Williamsport Regional Airport,IPT,KIPT
Indianapolis International Airport,IND,KIND
Whiteman Air Force Base,SZL,KSZL
Akron Fulton International Airport,AKC,KAKR
Greenwood–Leflore Airport,GWO,KGWO
Westchester County Airport,HPN,KHPN
Francis S Gabreski Airport,FOK,KFOK
Jonesboro Municipal Airport,JBR,KJBR
Tonopah Test Range Airport,XSD,KTNX
Palm Beach County Park Airport,LNA,KLNA
North Island Naval Air Station-Halsey Field,NZY,KNZY
Biggs Army Air Field (Fort Bliss),BIF,KBIF
Yuma MCAS/Yuma International Airport,YUM,KNYL
Cavern City Air Terminal,CNM,KCNM
Duluth International Airport,DLH,KDLH
Bethel Airport,BET,PABE
Bowman Field,LOU,KLOU
Sierra Vista Municipal Libby Army Air Field,FHU,KFHU
Lihue Airport,LIH,PHLI
"Terre Haute Regional Airport, Hulman Field",HUF,KHUF
Havre City County Airport,HVR,KHVR
Grant County International Airport,MWH,KMWH
Edward F Knapp State Airport,MPV,KMPV
San Nicolas Island Nolf Airport,\N,KNSI
Richmond International Airport,RIC,KRIC
Shreveport Regional Airport,SHV,KSHV
Merle K (Mudhole) Smith Airport,CDV,PACV
Norfolk International Airport,ORF,KORF
Southeast Texas Regional Airport,BPT,KBPT
Savannah Hilton Head International Airport,SAV,KSAV
Hill Air Force Base,HIF,KHIF
Nome Airport,OME,PAOM
Scappoose Industrial Airpark,\N,KSPB
St Petersburg Clearwater International Airport,PIE,KPIE
Menominee Regional Airport,MNM,KMNM
Conroe-North Houston Regional Airport,CXO,KCXO
Deadhorse Airport,SCC,PASC
San Antonio International Airport,SAT,KSAT
Greater Rochester International Airport,ROC,KROC
Patrick Air Force Base,COF,KCOF
Teterboro Airport,TEB,KTEB
Ellsworth Air Force Base,RCA,KRCA
Raleigh Durham International Airport,RDU,KRDU
James M Cox Dayton International Airport,DAY,KDAY
Kenai Municipal Airport,ENA,PAEN
Mc Alester Regional Airport,MLC,KMLC
Niagara Falls International Airport,IAG,KIAG
Coulter Field,CFD,KCFD
Wright AAF (Fort Stewart)/Midcoast Regional Airport,LIY,KLHW
Newport News Williamsburg International Airport,PHF,KPHF
Esler Regional Airport,ESF,KESF
Altus Air Force Base,LTS,KLTS
Tucson International Airport,TUS,KTUS
Minot Air Force Base,MIB,KMIB
Beale Air Force Base,BAB,KBAB
Greater Kankakee Airport,IKK,KIKK
Seymour Johnson Air Force Base,GSB,KGSB
Theodore Francis Green State Airport,PVD,KPVD
Salisbury Ocean City Wicomico Regional Airport,SBY,KSBY
Rancho Murieta Airport,\N,KRIU
Bob Hope Airport,BUR,KBUR
Detroit Metropolitan Wayne County Airport,DTW,KDTW
Tampa International Airport,TPA,KTPA
Pembina Municipal Airport,PMB,KPMB
Polk Army Air Field,POE,KPOE
Eielson Air Force Base,EIL,PAEI
Range Regional Airport,HIB,KHIB
Angelina County Airport,LFK,KLFK
Midland International Airport,MAF,KMAF
Austin Straubel International Airport,GRB,KGRB
Ardmore Municipal Airport,ADM,KADM
Mc Guire Air Force Base,WRI,KWRI
Cherry Point MCAS /Cunningham Field/,\N,KNKT
Emanuel County Airport,\N,KSBO
Augusta Regional At Bush Field,AGS,KAGS
Sloulin Field International Airport,ISN,KISN
Bill & Hillary Clinton National Airport/Adams Field,LIT,KLIT
Stewart International Airport,SWF,KSWF
Baudette International Airport,BDE,KBDE
Sacramento Executive Airport,SAC,KSAC
Homer Airport,HOM,PAHO
Waynesville-St. Robert Regional Forney field,TBN,KTBN
Dobbins Air Reserve Base,MGE,KMGE
Fairchild Air Force Base,SKA,KSKA
Roscommon County - Blodgett Memorial Airport,HTL,KHTL
Tyndall Air Force Base,PAM,KPAM
Dallas Fort Worth International Airport,DFW,KDFW
Melbourne International Airport,MLB,KMLB
McChord Air Force Base,TCM,KTCM
Austin Bergstrom International Airport,AUS,KAUS
Rickenbacker International Airport,LCK,KLCK
Sawyer International Airport,MQT,KSAW
McGhee Tyson Airport,TYS,KTYS
Hood Army Air Field,HLR,KHLR
St Louis Lambert International Airport,STL,KSTL
Millville Municipal Airport,MIV,KMIV
Sheppard Air Force Base-Wichita Falls Municipal Airport,SPS,KSPS
Cincinnati Municipal Airport Lunken Field,LUK,KLUK
Hartsfield Jackson Atlanta International Airport,ATL,KATL
Castle Airport,MER,KMER
Mc Clellan Airfield,MCC,KMCC
Gerald R. Ford International Airport,GRR,KGRR
Winkler County Airport,INK,KINK
Fresno Yosemite International Airport,FAT,KFAT
Vero Beach Regional Airport,VRB,KVRB
Imperial County Airport,IPL,KIPL
Nashville International Airport,BNA,KBNA
Laredo International Airport,LRD,KLRD
Elmendorf Air Force Base,EDF,PAED
Ralph Wien Memorial Airport,OTZ,PAOT
Altoona Blair County Airport,AOO,KAOO
Dyess Air Force Base,DYS,KDYS
South Arkansas Regional At Goodwin Field,ELD,KELD
La Guardia Airport,LGA,KLGA
Tallahassee Regional Airport,TLH,KTLH
Dupage Airport,DPA,KDPA
Waco Regional Airport,ACT,KACT
Augusta State Airport,AUG,KAUG
Hillsboro Municipal Airport,\N,KINJ
Jacksonville Naval Air Station (Towers Field),NIP,KNIP
McKellar-Sipes Regional Airport,MKL,KMKL
Molokai Airport,MKK,PHMK
Godman Army Air Field,FTK,KFTK
New River MCAS /H/ /Mccutcheon Fld/ Airport,\N,KNCA
San Angelo Regional Mathis Field,SJT,KSJT
Calexico International Airport,CXL,KCXL
Chico Municipal Airport,CIC,KCIC
Burlington International Airport,BTV,KBTV
Jacksonville International Airport,JAX,KJAX
Durango La Plata County Airport,DRO,KDRO
Washington Dulles International Airport,IAD,KIAD
Easterwood Field,CLL,KCLL
Felts Field,SFF,KSFF
General Mitchell International Airport,MKE,KMKE
Abilene Regional Airport,ABI,KABI
Columbia Regional Airport,COU,KCOU
Portland International Airport,PDX,KPDX
Dade Collier Training and Transition Airport,TNT,KTNT
Palm Beach International Airport,PBI,KPBI
Fort Worth Meacham International Airport,FTW,KFTW
Ogdensburg International Airport,OGS,KOGS
Cape Cod Coast Guard Air Station,FMH,KFMH
Boeing Field King County International Airport,BFI,KBFI
Lackland Air Force Base,SKF,KSKF
Daniel K Inouye International Airport,HNL,PHNL
Des Moines International Airport,DSM,KDSM
Coastal Carolina Regional Airport,EWN,KEWN
San Diego International Airport,SAN,KSAN
Monroe Regional Airport,MLU,KMLU
Shaw Air Force Base,SSC,KSSC
Ontario International Airport,ONT,KONT
Majors Airport,GVT,KGVT
Roswell International Air Center Airport,ROW,KROW
Coleman A. Young Municipal Airport,DET,KDET
Brownsville South Padre Island International Airport,BRO,KBRO
Dothan Regional Airport,DHN,KDHN
Cape May County Airport,WWD,KWWD
Fallon Naval Air Station,NFL,KNFL
Selfridge Air National Guard Base Airport,MTC,KMTC
Four Corners Regional Airport,FMN,KFMN
Corpus Christi International Airport,CRP,KCRP
Syracuse Hancock International Airport,SYR,KSYR
Naval Air Station Key West/Boca Chica Field,NQX,KNQX
Chicago Midway International Airport,MDW,KMDW
Norman Y. Mineta San Jose International Airport,SJC,KSJC
Lea County Regional Airport,HOB,KHOB
Northeast Philadelphia Airport,PNE,KPNE
Denver International Airport,DEN,KDEN
Philadelphia International Airport,PHL,KPHL
Sioux Gateway Col. Bud Day Field,SUX,KSUX
Middle Georgia Regional Airport,MCN,KMCN
