Name,IATA,ICAO
Buffalo Narrows Airport,YVT,CYVT
Wiarton Airport,YVV,CYVV
Petawawa Airport,YWA,CYWA
Winnipeg / James Armstrong Richardson International Airport,YWG,CYWG
Wabush Airport,YWK,CYWK
Williams Lake Airport,YWL,CYWL
Wrigley Airport,YWY,CYWY
Cranbrook/Canadian Rockies International Airport,YXC,CYXC
Edmonton City Centre (Blatchford Field) Airport,YXD,CYXD
Saskatoon John G. Diefenbaker International Airport,YXE,CYXE
Medicine Hat Airport,YXH,CYXH
Fort St John Airport,YXJ,CYXJ
Sioux Lookout Airport,YXL,CYXL
Pangnirtung Airport,YXP,CYXP
Earlton (Timiskaming Regional) Airport,YXR,CYXR
Prince George Airport,YXS,CYXS
Northwest Regional Airport Terrace-Kitimat,YXT,CYXT
London Airport,YXU,CYXU
Abbotsford Airport,YXX,CYXX
Whitehorse / Erik Nielsen International Airport,YXY,CYXY
North Bay Jack Garland Airport,YYB,CYYB
Calgary International Airport,YYC,CYYC
Smithers Airport,YYD,CYYD
Fort Nelson Airport,YYE,CYYE
Penticton Airport,YYF,CYYF
Charlottetown Airport,YYG,CYYG
Taloyoak Airport,YYH,CYYH
Victoria International Airport,YYJ,CYYJ
Lynn Lake Airport,YYL,CYYL
Swift Current Airport,YYN,CYYN
Churchill Airport,YYQ,CYYQ
Goose Bay Airport,YYR,CYYR
St. John's International Airport,YYT,CYYT
Kapuskasing Airport,YYU,CYYU
Armstrong Airport,YYW,CYYW
Mont Joli Airport,YYY,CYYY
Lester B. Pearson International Airport,YYZ,CYYZ
Downsview Airport,YZD,CYZD
Gore Bay Manitoulin Airport,YZE,CYZE
Yellowknife Airport,YZF,CYZF
Slave Lake Airport,YZH,CYZH
Sandspit Airport,YZP,CYZP
Chris Hadfield Airport,YZR,CYZR
Port Hardy Airport,YZT,CYZT
Whitecourt Airport,YZU,CYZU
Sept-Îles Airport,YZV,CYZV
Teslin Airport,YZW,CYZW
CFB Greenwood,YZX,CYZX
Faro Airport,ZFA,CZFA
Fort Mcpherson Airport,ZFM,CZFM
Blida Airport,QLD,DAAB
Bou Saada Airport,BUJ,DAAD
Soummam Airport,BJA,DAAE
Houari Boumediene Airport,ALG,DAAG
Djanet Inedbirene Airport,DJG,DAAJ
Boufarik Airport,\N,DAAK
Reggane Airport,\N,DAAN
Illizi Takhamalt Airport,VVZ,DAAP
Ain Oussera Airport,\N,DAAQ
Aguenar – Hadj Bey Akhamok Airport,TMR,DAAT
Jijel Ferhat Abbas Airport,GJL,DAAV
Mecheria Airport,MZW,DAAY
Relizane Airport,\N,DAAZ
Rabah Bitat Airport,AAE,DABB
Mohamed Boudiaf International Airport,CZL,DABC
Cheikh Larbi Tébessi Airport,TEE,DABS
Hassi R'Mel Airport,HRM,DAFH
Bou Chekif Airport,TID,DAOB
Bou Sfer Airport,\N,DAOE
Tindouf Airport,TIN,DAOF
Ech Cheliff Airport,CFK,DAOI
Tafaraoui Airport,TAF,DAOL
Zenata – Messali El Hadj Airport,TLM,DAON
Es Senia Airport,ORN,DAOO
Sidi Bel Abbes Airport,BFW,DAOS
Ghriss Airport,MUW,DAOV
Touat Cheikh Sidi Mohamed Belkebir Airport,AZR,DAUA
Biskra Airport,BSK,DAUB
El Golea Airport,ELG,DAUE
Noumérat - Moufdi Zakaria Airport,GHA,DAUG
Oued Irara Airport,HME,DAUH
In Salah Airport,INZ,DAUI
Touggourt Sidi Madhi Airport,TGR,DAUK
Laghouat Airport,LOO,DAUL
Timimoun Airport,TMX,DAUT
Ain el Beida Airport,OGX,DAUU
In Aménas Airport,IAM,DAUZ
Cadjehoun Airport,COO,DBBB
Ouagadougou Airport,OUA,DFFD
Bobo Dioulasso Airport,BOY,DFOO
Kotoka International Airport,ACC,DGAA
Tamale Airport,TML,DGLE
Wa Airport,\N,DGLW
Sunyani Airport,NYI,DGSN
Takoradi Airport,TKD,DGTK
Port Bouet Airport,ABJ,DIAP
Bouaké Airport,BYK,DIBK
Daloa Airport,DJO,DIDL
Korhogo Airport,HGO,DIKO
Man Airport,MJC,DIMN
San Pedro Airport,SPY,DISP
Yamoussoukro Airport,ASK,DIYO
Nnamdi Azikiwe International Airport,ABV,DNAA
Akure Airport,AKR,DNAK
Benin Airport,BNI,DNBE
Margaret Ekpo International Airport,CBQ,DNCA
Akanu Ibiam International Airport,ENU,DNEN
Gusau Airport,\N,DNGU
Ibadan Airport,IBA,DNIB
Ilorin International Airport,ILR,DNIL
Yakubu Gowon Airport,JOS,DNJO
Kaduna Airport,KAD,DNKA
Mallam Aminu International Airport,KAN,DNKN
Maiduguri International Airport,MIU,DNMA
Makurdi Airport,MDI,DNMK
Murtala Muhammed International Airport,LOS,DNMM
Minna Airport,MXJ,DNMN
Port Harcourt International Airport,PHC,DNPO
Sadiq Abubakar III International Airport,SKO,DNSO
Yola Airport,YOL,DNYO
Zaria Airport,ZAR,DNZA
Maradi Airport,MFQ,DRRM
Diori Hamani International Airport,NIM,DRRN
Tahoua Airport,THZ,DRRT
Mano Dayak International Airport,AJY,DRZA
Dirkou Airport,\N,DRZD
Diffa Airport,\N,DRZF
Zinder Airport,ZND,DRZR
Monastir Habib Bourguiba International Airport,MIR,DTMB
Tunis Carthage International Airport,TUN,DTTA
Sidi Ahmed Air Base,\N,DTTB
Remada Air Base,\N,DTTD
Gafsa Ksar International Airport,GAF,DTTF
Gabès Matmata International Airport,GAE,DTTG
Borj El Amri Airport,\N,DTTI
Djerba Zarzis International Airport,DJE,DTTJ
El Borma Airport,EBM,DTTR
Sfax Thyna International Airport,SFA,DTTX
Tozeur Nefta International Airport,TOE,DTTZ
Niamtougou International Airport,LRL,DXNG
Lomé-Tokoin Airport,LFW,DXXX
Antwerp International Airport (Deurne),ANR,EBAW
Beauvechain Air Base,\N,EBBE
Kleine Brogel Air Base,\N,EBBL
Brussels Airport,BRU,EBBR
Jehonville Air Base,\N,EBBX
Brussels South Charleroi Airport,CRL,EBCI
Chièvres Air Base,\N,EBCV
Koksijde Air Base,\N,EBFN
Florennes Air Base,\N,EBFS
Wevelgem Airport,KJK,EBKT
Liège Airport,LGG,EBLG
Ostend-Bruges International Airport,OST,EBOS
Zutendaal Air Base,\N,EBSL
Brustem Airfield Sint Truiden,\N,EBST
Saint Hubert Air Base,\N,EBSU
Ursel Air Base,\N,EBUL
Weelde Air Base,\N,EBWE
Zoersel (Oostmalle) Airfield,OBL,EBZR
Flugplatz Bautzen,\N,EDAB
Altenburg-Nobitz Airport,AOC,EDAC
Dessau Airfield,\N,EDAD
Eisenhüttenstadt Airfield,\N,EDAE
Großenhain Airport,\N,EDAK
Merseburg Airport,\N,EDAM
Halle-Oppin Airport,\N,EDAQ
Riesa-Göhlis Airport,IES,EDAU
Rechlin-Lärz Airport,REB,EDAX
Strausberg Airport,\N,EDAY
Schönhagen Airport,QXH,EDAZ
Barth Airport,BBH,EDBH
Jena-Schöngleina Airfield,\N,EDBJ
Kyritz Airport,\N,EDBK
"Magdeburg ""City"" Airport",ZMG,EDBM
Rothenburg/Görlitz Airport,\N,EDBR
Anklam Airfield,\N,EDCA
Cottbus-Drewitz Airport,CBU,EDCD
Kamenz Airport,\N,EDCM
Berlin-Schönefeld Airport,SXF,EDDB
Dresden Airport,DRS,EDDC
Erfurt Airport,ERF,EDDE
Frankfurt am Main Airport,FRA,EDDF
Münster Osnabrück Airport,FMO,EDDG
Hamburg Airport,HAM,EDDH
Berlin-Tempelhof International Airport,THF,EDDI
Cologne Bonn Airport,CGN,EDDK
Düsseldorf Airport,DUS,EDDL
Munich Airport,MUC,EDDM
Nuremberg Airport,NUE,EDDN
Leipzig/Halle Airport,LEJ,EDDP
Saarbrücken Airport,SCN,EDDR
Stuttgart Airport,STR,EDDS
Berlin-Tegel Airport,TXL,EDDT
Hannover Airport,HAJ,EDDV
Bremen Airport,BRE,EDDW
Frankfurt-Egelsbach Airport,QEF,EDFE
Frankfurt-Hahn Airport,HHN,EDFH
Mannheim-City Airport,MHG,EDFM
Allendorf/Eder Airport,\N,EDFQ
Worms Airport,\N,EDFV
Mainz-Finthen Airport,\N,EDFZ
Eisenach-Kindel Airport,EIB,EDGE
Siegerland Airport,SGE,EDGS
Hamburg-Finkenwerder Airport,XFW,EDHI
Kiel-Holtenau Airport,KEL,EDHK
Lübeck Blankensee Airport,LBC,EDHL
Flugplatz Dahlemer Binz,\N,EDKV
Meinerzhagen Airport,\N,EDKZ
Arnsberg-Menden Airport,\N,EDLA
Essen Mulheim Airport,ESS,EDLE
Bielefeld Airport,BFE,EDLI
Mönchengladbach Airport,MGL,EDLN
Paderborn Lippstadt Airport,PAD,EDLP
Stadtlohn-Vreden Airport,\N,EDLS
Dortmund Airport,DTM,EDLW
Augsburg Airport,AGB,EDMA
Biberach a.d. Riß Airfield,\N,EDMB
Eggenfelden Airport,\N,EDME
Mindelheim-Mattsies Airfield,\N,EDMN
Oberpfaffenhofen Airport,OBF,EDMO
Straubing Airport,RBM,EDMS
Vilshofen Airport,\N,EDMV
Leutkirch-Unterzeil Airport,\N,EDNL
Friedrichshafen Airport,FDH,EDNY
Schwerin Parchim Airport,SZW,EDOP
Stendal-Borstel Airport,\N,EDOV
Aalen-Heidenheim/Elchingen Airport,\N,EDPA
Bayreuth Airport,BYU,EDQD
Burg Feuerstein Airport,URD,EDQE
Hof-Plauen Airport,HOQ,EDQM
Haßfurt-Schweinfurt Airport,\N,EDQT
Koblenz-Winningen Airfield,\N,EDRK
Trier-Föhren Airport,\N,EDRT
Speyer Airfield,\N,EDRY
Zweibrücken Airport,ZQW,EDRZ
Donaueschingen-Villingen Airport,ZQL,EDTD
Freiburg i. Br. Airport,\N,EDTF
Mengen-Hohentengen Airport,\N,EDTM
Adolf Würth Airport,\N,EDTY
Finsterwalde/Schacksdorf Airport,\N,EDUS
Braunschweig-Wolfsburg Airport,BWE,EDVE
Kassel-Calden Airport,KSF,EDVK
Hildesheim Airport,\N,EDVM
Bremerhaven Airport,BRV,EDWB
Emden Airport,EME,EDWE
Leer-Papenburg Airport,\N,EDWF
Wilhelmshaven-Mariensiel Airport,WVN,EDWI
Borkum Airport,BMK,EDWR
Norderney Airport,NRD,EDWY
Flensburg-Schäferhaus Airport,FLF,EDXF
Rendsburg-Schachtholm Airport,\N,EDXR
Westerland Sylt Airport,GWT,EDXW
Ämari Air Base,\N,EEEI
Kärdla Airport,KDL,EEKA
Kuressaare Airport,URE,EEKE
Pärnu Airport,EPU,EEPU
Lennart Meri Tallinn Airport,TLL,EETN
Tartu Airport,TAY,EETU
Enontekio Airport,ENF,EFET
Eura Airport,\N,EFEU
Halli Airport,KEV,EFHA
Helsinki Malmi Airport,HEM,EFHF
Helsinki Vantaa Airport,HEL,EFHK
Hameenkyro Airport,\N,EFHM
Hanko Airport,\N,EFHN
Hyvinkää Airfield,HYV,EFHV
Kiikala Airport,\N,EFIK
Immola Airport,\N,EFIM
Kitee Airport,KTQ,EFIT
Ivalo Airport,IVL,EFIV
Joensuu Airport,JOE,EFJO
Jyvaskyla Airport,JYV,EFJY
Kauhava Airport,KAU,EFKA
Kemi-Tornio Airport,KEM,EFKE
Kajaani Airport,KAJ,EFKI
Kauhajoki Airport,KHJ,EFKJ
Kokkola-Pietarsaari Airport,KOK,EFKK
Kemijarvi Airport,\N,EFKM
Kuusamo Airport,KAO,EFKS
Kittilä Airport,KTT,EFKT
Kuopio Airport,KUO,EFKU
Lahti Vesivehmaa Airport,QLF,EFLA
Lappeenranta Airport,LPP,EFLP
Mariehamn Airport,MHQ,EFMA
Menkijarvi Airport,\N,EFME
Mikkeli Airport,MIK,EFMI
Nummela Airport,\N,EFNU
Oulu Airport,OUL,EFOU
Piikajarvi Airport,\N,EFPI
Pori Airport,POR,EFPO
Pudasjärvi Airport,\N,EFPU
Pyhäsalmi Airport,\N,EFPY
Raahe Pattijoki Airport,\N,EFRH
Rantasalmi Airport,\N,EFRN
Rovaniemi Airport,RVN,EFRO
Rayskala Airport,\N,EFRY
Savonlinna Airport,SVL,EFSA
Selanpaa Airport,\N,EFSE
Sodankyla Airport,SOT,EFSO
Tampere-Pirkkala Airport,TMP,EFTP
Teisko Airport,\N,EFTS
Turku Airport,TKU,EFTU
Utti Air Base,UTI,EFUT
Vaasa Airport,VAA,EFVA
Varkaus Airport,VRK,EFVR
Ylivieska Airfield,YLI,EFYL
Belfast International Airport,BFS,EGAA
St Angelo Airport,ENK,EGAB
George Best Belfast City Airport,BHD,EGAC
City of Derry Airport,LDY,EGAE
Birmingham International Airport,BHX,EGBB
Coventry Airport,CVT,EGBE
Leicester Airport,\N,EGBG
Gloucestershire Airport,GLO,EGBJ
Wolverhampton Halfpenny Green Airport,\N,EGBO
Cotswold Airport,GBA,EGBP
Turweston Airport,\N,EGBT
Wellesbourne Mountford Airport,\N,EGBW
Manchester Airport,MAN,EGCC
Manchester Woodford Airport,\N,EGCD
Royal Marines Base Chivenor Airport,\N,EGDC
Newquay Cornwall Airport,NQY,EGHQ
RAF Lyneham,LYE,EGDL
MoD Boscombe Down Airport,\N,EGDM
RNAS Culdrose,\N,EGDR
MoD St. Athan,\N,EGDX
RNAS Yeovilton,YEO,EGDY
Haverfordwest Airport,HAW,EGFE
Cardiff International Airport,CWL,EGFF
Swansea Airport,SWS,EGFH
Bristol Airport,BRS,EGGD
Liverpool John Lennon Airport,LPL,EGGP
London Luton Airport,LTN,EGGW
Plymouth City Airport,PLH,EGHD
Bournemouth Airport,BOH,EGHH
Southampton Airport,SOU,EGHI
Lasham Airport,QLA,EGHL
Alderney Airport,ACI,EGJA
Guernsey Airport,GCI,EGJB
Jersey Airport,JER,EGJJ
Shoreham Airport,ESH,EGKA
London Biggin Hill Airport,BQH,EGKB
London Gatwick Airport,LGW,EGKK
London City Airport,LCY,EGLC
Farnborough Airport,FAB,EGLF
Chalgrove Airport,\N,EGLJ
Blackbushe Airport,BBS,EGLK
London Heathrow Airport,LHR,EGLL
Southend Airport,SEN,EGMC
Lydd Airport,LYX,EGMD
Kent International Airport,MSE,EGMH
Brough Airport,\N,EGNB
Carlisle Airport,CAX,EGNC
Retford Gamston Airport,\N,EGNE
Blackpool International Airport,BLK,EGNH
Humberside Airport,HUY,EGNJ
Barrow Walney Island Airport,BWF,EGNL
Leeds Bradford Airport,LBA,EGNM
Warton Airport,WRT,EGNO
Hawarden Airport,CEG,EGNR
Isle of Man Airport,IOM,EGNS
Newcastle Airport,NCL,EGNT
Durham Tees Valley Airport,MME,EGNV
East Midlands Airport,EMA,EGNX
Llanbedr Airport,\N,EGOD
RAF Ternhill,\N,EGOE
RAF Shawbury,\N,EGOS
RAF Woodvale,\N,EGOW
Kirkwall Airport,KOI,EGPA
Sumburgh Airport,LSI,EGPB
Wick Airport,WIC,EGPC
Aberdeen Dyce Airport,ABZ,EGPD
Inverness Airport,INV,EGPE
Glasgow International Airport,GLA,EGPF
Edinburgh Airport,EDI,EGPH
Islay Airport,ILY,EGPI
Glasgow Prestwick Airport,PIK,EGPK
Benbecula Airport,BEB,EGPL
Scatsta Airport,SCS,EGPM
Dundee Airport,DND,EGPN
Stornoway Airport,SYY,EGPO
Tiree Airport,TRE,EGPU
RAF Leuchars,ADX,EGQL
RAF Lossiemouth,LMO,EGQS
Cambridge Airport,CBG,EGSC
Peterborough Business Airport,\N,EGSF
Norwich International Airport,NWI,EGSH
London Stansted Airport,STN,EGSS
North Weald Airport,\N,EGSX
Sheffield City Heliport,\N,EGSY
Cranfield Airport,\N,EGTC
Exeter International Airport,EXT,EGTE
Bristol Filton Airport,FZO,EGTG
Oxford (Kidlington) Airport,OXF,EGTK
RAF Benson,BEX,EGUB
RAF Lakenheath,LKZ,EGUL
RAF Mildenhall,MHZ,EGUN
RAF Wattisham,\N,EGUW
RAF Wyton,QUY,EGUY
RAF Fairford,FFD,EGVA
RAF Brize Norton,BZZ,EGVN
RAF Odiham,ODH,EGVO
DCAE Cosford Air Base,\N,EGWC
RAF Northolt,NHT,EGWU
RAF Coningsby,QCY,EGXC
RAF Dishforth,\N,EGXD
Leeming Airport,\N,EGXE
Leeds East Airport,\N,EGXG
RAF Honington,BEQ,EGXH
RAF Cottesmore,\N,EGXJ
RAF Scampton,SQZ,EGXP
RAF Wittering,\N,EGXT
RAF Linton-On-Ouse,HRT,EGXU
RAF Waddington,WTN,EGXW
RAF Topcliffe,\N,EGXZ
RAF Cranwell,\N,EGYD
RAF Barkston Heath,\N,EGYE
RAF Marham,KNF,EGYM
Mount Pleasant Airport,MPN,EGYP
Amsterdam Airport Schiphol,AMS,EHAM
Budel Airfield Kempen,\N,EHBD
Maastricht Aachen Airport,MST,EHBK
Deelen Air Base,\N,EHDL
Drachten Airport,\N,EHDR
Eindhoven Airport,EIN,EHEH
Eelde Airport,GRQ,EHGG
Gilze Rijen Air Base,GLZ,EHGR
De Kooy Airport,DHR,EHKD
Lelystad Airport,LEY,EHLE
Leeuwarden Air Base,LWR,EHLW
Rotterdam The Hague Airport,RTM,EHRD
Soesterberg Air Base,UTC,EHSB
Twente Airport,ENS,EHTW
Valkenburg Naval Air Base,LID,EHVB
Woensdrecht Air Base,WOE,EHWO
Cork Airport,ORK,EICK
Galway Airport,GWY,EICM
Dublin Airport,DUB,EIDW
Ireland West Knock Airport,NOC,EIKN
Kerry Airport,KIR,EIKY
Casement Air Base,\N,EIME
Shannon Airport,SNN,EINN
Sligo Airport,SXL,EISG
Waterford Airport,WAT,EIWF
Aarhus Airport,AAR,EKAH
Billund Airport,BLL,EKBI
Copenhagen Kastrup Airport,CPH,EKCH
Esbjerg Airport,EBJ,EKEB
Grønholt Hillerød Airport,\N,EKGH
Karup Airport,KRP,EKKA
Læsø Airport,BYR,EKLS
Lolland Falster Maribo Airport,MRW,EKMB
Odense Airport,ODE,EKOD
Kruså-Padborg Airport,\N,EKPB
Copenhagen Roskilde Airport,RKE,EKRK
Bornholm Airport,RNN,EKRN
Sønderborg Airport,SGD,EKSB
Skrydstrup Air Base,SKS,EKSP
Skive Airport,SQW,EKSV
Thisted Airport,TED,EKTS
Kolding Vamdrup Airfield,\N,EKVD
Vagar Airport,FAE,EKVG
Vesthimmerlands Flyveplads,\N,EKVH
Stauning Airport,STA,EKVJ
Aalborg Airport,AAL,EKYT
Luxembourg-Findel International Airport,LUX,ELLX
Ålesund Airport,AES,ENAL
Andøya Airport,ANX,ENAN
Alta Airport,ALF,ENAT
Bømoen Airport,\N,ENBM
Brønnøysund Airport,BNN,ENBN
Bodø Airport,BOO,ENBO
Bergen Airport Flesland,BGO,ENBR
Båtsfjord Airport,BJF,ENBS
Kristiansand Airport,KRS,ENCN
Geilo Airport Dagali,DLD,ENDI
Bardufoss Airport,BDU,ENDU
"Harstad/Narvik Airport, Evenes",EVE,ENEV
Leirin Airport,VDB,ENFG
Florø Airport,FRO,ENFL
Oslo Lufthavn,OSL,ENGM
Haugesund Airport,HAU,ENHD
