id,text,unit,updated,firstPeriod,latestPeriod,active,variables
EJERFOF2,Husholdningernes formue i fast ejendom og gældskomponenter for familier,-,2021-03-25T08:00:00,2004,2020,True,"['komponenttype', 'bopælskommune', 'enhed', 'husstandsgrupper', 'tid']"
TJEN01,Optjent tjenestemandspension for aktive tjenestemænd,-,2021-12-13T08:00:00,2014,2020,True,"['sektor', 'enhed', 'køn', 'faggruppe, aldersgrupper', 'tid']"
TJEN02,Optjent tjenestemandspension for pensionerede tjenestemænd,-,2021-12-13T08:00:00,2014,2020,True,"['sektor', 'enhed', 'køn', 'tid']"
PENSOC,Husholdningernes pensionsrettigheder i socialforsikringsordninger,Mio. kr.,2021-12-13T08:00:00,2015,2020,True,"['pensionsordninger', 'konto', 'tid']"
PENFOR11,Pensionsformue,-,2021-08-25T08:00:00,2015,2020,True,"['pensionsform', 'beskatning', 'alder', 'køn', 'enhed', 'tid']"
PENFOR12,Personers pensionsformue,Antal,2021-08-25T08:00:00,2015,2020,True,"['familietype', 'alder', 'køn', 'prisenhed', 'pensionsformue', 'tid']"
PENS6,Pensionsformue (ekskl. tjenestemandspensioner),-,2021-08-25T08:00:00,2015,2020,True,"['pensionsform', 'selskabstype', 'enhed', 'familietype', 'tid']"
PENFOR20,Pensionsformue,-,2021-08-27T08:00:00,2015,2020,True,"['pensionsform', 'selskabstype', 'alder', 'population', 'beskatning', 'enhed', 'tid']"
PENINDB1,Personer med pensionsindbetalinger,-,2021-11-29T08:00:00,2005,2020,True,"['område', 'enhed', 'køn', 'alder', 'pensionstype', 'tid']"
NAN1,"Forsyningsbalance, bruttonationalprodukt (BNP),økonomisk vækst, beskæftigelse mv.",-,2022-02-28T08:00:00,1966,2021,True,"['transaktion', 'prisenhed', 'tid']"
VNAN1,Versionstabel NAN1 - Forsyningsbalance (år),-,2022-03-01T08:00:00,1966,2021,True,"['version', 'transaktion', 'prisenhed', 'tid']"
NAN2,Real disponibel bruttonationalindkomst mv.,Mio. kr.,2022-02-28T08:00:00,1966,2021,True,"['transaktion', 'prisenhed', 'tid']"
NAN3,"Forbrug, disponibel indkomst og opsparing for husholdninger og NPISH",-,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'prisenhed', 'tid']"
NKN1,"Forsyningsbalance, Bruttonationalprodukt (BNP), beskæftigelse mv.",-,2022-02-28T08:00:00,1990K1,2021K4,True,"['transaktion', 'prisenhed', 'sæsonkorrigering', 'tid']"
VNKN1,Versionstabel NKN1 - Forsyningsbalance (kvartaler),-,2022-02-28T08:00:00,1990K1,2021K4,True,"['version', 'transaktion', 'prisenhed', 'sæsonkorrigering', 'tid']"
NKN2,Real disponibel bruttonationalindkomst mv.,Mio. kr.,2022-02-28T08:00:00,1990K1,2021K4,True,"['transaktion', 'prisenhed', 'sæsonkorrigering', 'tid']"
NKN3,"Forbrug, disponibel indkomst og opsparing for husholdninger og NPISH, sæsonkorrigeret",-,2021-12-23T08:00:00,1999K1,2021K3,True,"['transaktion', 'prisenhed', 'tid']"
NAH1,0 Varer og tjenester,Mio. kr.,2022-02-28T08:00:00,1966,2021,True,"['transaktion', 'prisenhed', 'tid']"
NAHL2,"1-2.1.1 Produktion, BNP og indkomstdannelse (hovedposter)",Mio. kr.,2022-02-28T08:00:00,1966,2021,True,"['transaktion', 'prisenhed', 'tid']"
NAHL4,5 Danmark og udlandet (hovedposter),Mio. kr.,2022-02-28T08:00:00,1966,2021,True,"['transaktion', 'tid']"
NKH1,0 Varer og tjenester,Mio. kr.,2022-02-28T08:00:00,1990K1,2021K4,True,"['transaktion', 'prisenhed', 'sæsonkorrigering', 'tid']"
NKHO2,"1-2.1.1 Produktion, BNP og indkomstdannelse",Mio. kr.,2022-02-28T08:00:00,1990K1,2021K4,True,"['transaktion', 'prisenhed', 'sæsonkorrigering', 'tid']"
NKHO3,"2.1.2-3.1 Indkomst, forbrug, opsparing og investering",Mio. kr.,2022-02-28T08:00:00,1990K1,2021K4,True,"['transaktion', 'sæsonkorrigering', 'tid']"
NKHL4,5 Danmark og udlandet,Mio. kr.,2022-02-28T08:00:00,1990K1,2021K4,True,"['transaktion', 'sæsonkorrigering', 'tid']"
NAHO2,"1-2.1.1 Produktion, BNP og indkomstdannelse (oversigt)",Mio. kr.,2022-02-28T08:00:00,1995,2021,True,"['transaktion', 'prisenhed', 'tid']"
NAHO3,"2.1.2-3.1 Indkomst, forbrug, opsparing og investering (oversigt)",Mio. kr.,2022-02-28T08:00:00,1966,2021,True,"['transaktion', 'tid']"
NAHO4,5 Danmark og udlandet (oversigt),Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'tid']"
NAHD21,1 Produktion og BNP (detaljeret),Mio. kr.,2021-06-30T08:00:00,1995,2020,True,"['transaktion', 'prisenhed', 'tid']"
NAHD22,2.1.1 Indkomstdannelse (detaljeret),Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'tid']"
NAHD31,2.1.2 Allokering af primær indkomst (detaljeret),Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'tid']"
NAHD32,2.2 Fordeling af sekundær indkomst (detaljeret),Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'tid']"
NAHD33,2.4.1 Anvendelse (forbrug og opsparing) af disponibel indkomst (detaljeret),Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'tid']"
NAHD34,"3.1 Kapital, investering mv. (detaljeret)",Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'tid']"
NAHD4,5 Danmark og udlandet (detaljeret),Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'tid']"
NAHC21,Husholdningers forbrug på dansk område (11 grp),Mio. kr.,2022-02-28T08:00:00,1966,2021,True,"['formål', 'prisenhed', 'tid']"
VNAHC21,Versionstabel NAHC21 - Husholdningers forbrug på dansk område (11 grp),Mio. kr.,2022-03-01T08:00:00,1966,2021,True,"['version', 'formål', 'prisenhed', 'tid']"
NAHC22,Husholdningers forbrug på dansk område (41 grp),Mio. kr.,2021-06-30T08:00:00,1966,2019,True,"['formål', 'prisenhed', 'tid']"
